Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_02_116.jpg;0;1;0;3.076488;104.6809;89.87788;1.371748;40.23774;-0.001486259
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_02_182.jpg;0;1;0;3.130916;104.825;89.99877;1.377724;40.22347;-0.001483967
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_02_248.jpg;0;1;0;3.171824;105.02;90.16228;1.380994;40.206;-0.001059841
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_02_316.jpg;0;1;0;3.212279;105.1685;90.28668;1.384102;40.18979;-0.00152742
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_02_382.jpg;0;1;0;3.26687;105.3189;90.41265;1.388755;40.1753;-0.001434601
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_02_448.jpg;0;1;0;3.306608;105.4712;90.54007;1.389178;40.1601;-0.001553364
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_02_516.jpg;0;1;0;3.346633;105.6771;90.71234;1.393286;40.13961;-0.00155753
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_02_583.jpg;0;1;0;3.399906;105.8338;90.84332;1.397967;40.12369;-0.001576482
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_02_649.jpg;0;1;0;3.440362;106.0456;91.02022;1.401528;40.1023;-0.001589935
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_02_715.jpg;0;1;0;3.479962;106.2066;91.15466;1.406815;40.08546;-0.0016075
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_02_781.jpg;0;1;0;3.532676;106.3695;91.29054;1.40945;40.06934;-0.001525088
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_02_848.jpg;0;1;0;3.571979;106.5342;91.42789;1.412638;40.05227;-0.001527438
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_02_915.jpg;0;1;0;3.611156;106.7567;91.61327;1.415447;40.02879;-0.001647272
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_02_983.jpg;0;1;0;3.662583;106.9258;91.75399;1.418069;40.01105;-0.001665635
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_03_048.jpg;0;1;0;3.701464;107.154;91.94391;1.425275;39.98657;-0.001579223
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_03_116.jpg;0;1;0;3.740229;107.3273;92.08799;1.42815;39.96801;-0.001589153
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_03_182.jpg;0;1;0;3.792216;107.5025;92.23347;1.429004;39.9496;-0.001602177
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_03_248.jpg;0;1;0;3.829974;107.7389;92.4297;1.436184;39.92312;-0.001619477
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_03_315.jpg;0;1;0;3.868327;107.9182;92.57848;1.437348;39.90377;-0.001639494
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_03_381.jpg;0;1;0;3.919053;108.0995;92.7287;1.442814;39.88435;-0.001275836
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_03_448.jpg;0;1;0;3.957117;108.3439;92.93111;1.446751;39.85744;-0.001195184
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_03_515.jpg;0;1;0;3.994734;108.5293;93.08452;1.448364;39.8362;-0.00130178
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_03_582.jpg;0;1;0;4.04492;108.7165;93.2393;1.451866;39.81343;-0.001807112
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_03_649.jpg;0;1;0;4.082582;108.969;93.44784;1.457602;39.78616;-0.001222466
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_03_716.jpg;0;1;0;4.119791;109.1603;93.60577;1.458321;39.7638;-0.001341072
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_03_782.jpg;0;1;0;4.169435;109.3535;93.76512;1.464126;39.74083;-0.001355968
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_03_848.jpg;0;1;0;4.207052;109.5485;93.92574;1.465617;39.71706;-0.001755826
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_03_916.jpg;0;1;0;4.243504;109.8112;94.14204;1.470824;39.68721;-0.001270727
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_03_983.jpg;0;1;0;4.292962;110.0103;94.30575;1.472665;39.66198;-0.001775315
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_04_048.jpg;0;1;0;4.32949;110.2785;94.52616;1.480046;39.62997;-0.001410211
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_04_116.jpg;0;1;0;4.365562;110.4818;94.69296;1.483795;39.60555;-0.001321231
C:\Users\jabil\Desktop\udacity_robotics\IMG\robocam_2021_10_06_11_14_04_182.jpg;0;1;0;4.414497;110.6867;94.86101;1.484378;39.57944;-0.001831052
